video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@unknownoutdoors530,2024-10-31T19:24:13Z,2024-10-31T19:24:13Z,0,"Im asian and never voted in my life but im voting for trump in 2024 <a href=""http://www.youtube.com/results?search_query=%23stoptheinvasion"">#stoptheinvasion</a> <a href=""http://www.youtube.com/results?search_query=%23stopinflation"">#stopinflation</a>",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@Sayfeijai,2024-10-30T13:53:25Z,2024-10-30T13:53:25Z,0,Asian 4 trump !,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@TheVir1177,2024-10-30T07:07:16Z,2024-10-30T07:07:16Z,0,"In case of war, I want Trump to be our president.  Vote for Trump save tha USA.",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@TheVir1177,2024-10-30T07:04:13Z,2024-10-30T07:04:13Z,1,"Do you like your gas car, in winter doesn&#39;t freeze or die or burn. Vote for Trump. If you like your gas stove, vote for Trump. Save the USA. ❤",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@jaychong12,2024-10-29T22:59:01Z,2024-10-29T22:59:01Z,6,I am an Asian and I have already voted for Trump with my family.  U.S border is like front door of my home and I don’t want any stranger come into my home without permission.,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@gemleollc4755,2024-10-29T22:52:06Z,2024-10-29T22:52:06Z,0,"When Hitler was spewing nationalism, patriotism, strong borders and antisemitism in the late 1930s - some Jews jumped on the band wagon too. I guess some Asians are no different - different race, same kind of misguided self hate. STUPID PEOPLE.",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@picartso7764,2024-10-27T18:08:34Z,2024-10-27T18:08:34Z,0,La familia criminal Trump vendió a Estados Unidos tanto a Rusia como a Arabia Saudita. Muchos genios apoyan a Trump.,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@rodrigodiaz9472,2024-10-26T14:22:04Z,2024-10-26T14:22:04Z,3,Latinos for Trump 🇺🇸,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@АлександрБудняков-э5я,2024-10-26T12:04:22Z,2024-10-26T12:04:22Z,1,"You are adults must understand that there <br>will be no Trump in the White House!!! <br>Wake up, US citizens!!! Trump will always <br>be there go to court, he went <br>for the president to get out of prison, <br>but that won&#39;t save him, <br>he will do more things!!!",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@nicaritoart,2024-10-25T19:57:35Z,2024-10-25T20:01:45Z,0,"It is so unbelievable to read so many want to vote for someone that shows all signs of a dictator. <br>Trump has not done anything for the Latinos. He was in office for 4 years and did NOTHING! He knew that the BIPARTISAN immigration agreement was a big plus for the democrats and what did he do? Call Republican in Congress to stop it from being approved by Congress. But guess what! If he makes it into the WH, he will pass that same bill and say “I Did it for the Latinos”.  <br>Well! This Latina is not a fool!",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@JOHNHEALY-mg2xy,2024-10-25T15:12:07Z,2024-10-25T15:12:07Z,3,Trump for prision!!!!!!,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@ArizonaSquatch,2024-10-25T14:43:47Z,2024-10-25T14:43:47Z,2,2 groups of minorities that will never benefit from any of Trump&#39;s policies.,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@faraz576,2024-10-25T14:25:42Z,2024-10-25T14:25:42Z,2,President Trump 💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@chineduokezie8359,2024-10-25T13:52:49Z,2024-10-25T13:52:49Z,0,We don&#39;t want to be unburdened by what has been......🤣🤣🤣,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@Lamin_G,2024-10-25T13:32:09Z,2024-10-25T13:32:09Z,1,"Notice that it is usually <i>2nd generation</i> or later <i>English-speaking</i> &quot;Latinos&quot; who develop an anti-immigrant bent, often proclaiming to be the beneficiaries of <i>&quot;coming the right way.&quot;</i> <b>Social conditioning,</b> in which the <i>MSM</i> plays an important role, cultivates the notion that &quot;outsiders&quot; are <i>&quot;undesirable&quot;</i> and are often <i>&quot;agents of chaos.&quot;</i> The conditioning also maintains that if you are a <i>&quot;newcomer,&quot;</i> good things can only come to you if you fully <i>submit</i> to and &quot;integrate&quot; into the &quot;dominant&quot; culture. Henceforth, immigrant communities often prioritize acculturating their children with the &quot;dominant&quot; culture at the expense of beloved home traditions. Their <i>language</i> is usually the first casualty of this process. Children (2nd generation or later) may develop the attitude that the more they <i>distance</i> themselves from <i>&quot;later</i> arrivals&quot; and &quot;outsiders,&quot; and the more they <i>&quot;integrate&quot;</i> and &quot;disappear&quot; into the &quot;dominant&quot; culture, the <i>brighter</i> their future! <br><br>The media and Trump are <b>strange bedfellows</b> who exploit fear of &quot;outsiders.&quot; They both criminalize &quot;outsiders&quot; with anecdotes and tall tales about preexisting laws. While Trump and MSM have an intense dislike of each other, they feed off each other. Guess what Trump did at his last Georgia rally? He criticized the media, but he made a collage from <i>their</i> reports to support his anti-immigrant vitriol!🙂",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@Benzene75,2024-10-25T12:48:53Z,2024-10-25T12:48:53Z,5,"I am Vietnamese and live in Riverside County CA, I am voting for Trump",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@Groovy_Baby_1911,2024-10-25T08:00:12Z,2024-10-25T08:00:12Z,0,Trump has one. Deal with it.,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@ninakamwene5486,2024-10-25T07:16:27Z,2024-10-25T07:16:27Z,13,It&#39;s amazing how people change when they come to America. Can these Asians name one thing MAGA DonOLD did for them?,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@SevenCer-m5l,2024-10-25T07:01:59Z,2024-10-25T07:01:59Z,2,Go HARRY 2024🎉,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@alexpatricio3631,2024-10-25T06:18:57Z,2024-10-25T06:18:57Z,3,❤️🙏🇵🇭🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🌎💯✅,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@donanderson8145,2024-10-25T06:15:55Z,2024-10-25T06:15:55Z,8,Harris/Walz 2024!! 💙🇺🇸🗽🇺🇸💙,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@donanderson8145,2024-10-25T06:15:18Z,2024-10-25T06:15:18Z,14,Throw trump in PRISON!!,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@GP-nr2fm,2024-10-25T05:36:58Z,2024-10-25T05:36:58Z,16,"Asians for Trump! We support a secure border, community safety, and a strong economy. We are tired of the government transitioning our children&#39;s gender without our consent and prioritizing illegal immigrants over taxpayers. It&#39;s time to hold the Democratic Party accountable.",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@pinoyaka22,2024-10-25T05:21:35Z,2024-10-25T05:21:35Z,0,"She desperate, Harris is paying celebrities to go to her rallies",https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@chaunguyen8732,2024-10-25T04:35:25Z,2024-10-25T12:07:59Z,11,SoCal Asian Americans for Trump 2024!,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@quangluu9996,2024-10-25T04:23:31Z,2024-10-25T04:23:31Z,12,Lock him up,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@gregoryraskin3496,2024-10-25T04:21:11Z,2024-10-25T04:21:11Z,0,Bla bla,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@etneb20yorme47,2024-10-25T04:17:54Z,2024-10-25T04:17:54Z,18,I&#39;m asian American and I&#39;m voting for Trump 2024,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@Thaddeus-ml8if,2024-10-25T04:17:52Z,2024-10-25T04:17:52Z,1,The way she/shim/they/thou pronounces “Latinos” is annoying af.,https://www.youtube.com/watch?v=u8RnCn_ZuB0
"Trump focuses on Latino, Asian voters in appearance at Nevada",NBC News,@happygolden-mountain,2024-10-25T03:51:23Z,2024-10-25T03:51:23Z,0,Asians will go anywhere you pay.  Thats fact.  If thw boss pays for a free trip we take family.,https://www.youtube.com/watch?v=u8RnCn_ZuB0
